island,year,source_table,area,area_type,area_pop_total,sex,age_band,count,data_type,notes
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,30-34,194,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,35-39,181,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,40-44,192,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,45-49,181,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,50-54,252,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,55-59,254,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,60-64,209,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,65-69,177,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,70-74,186,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,75-79,173,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,80-84,98,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,85+,97,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,0-4,70,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,5-9,102,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,10-14,105,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,15-19,114,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,20-24,70,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,25-29,66,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,30-34,93,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,35-39,87,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,40-44,89,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,45-49,86,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,50-54,110,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,55-59,143,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,60-64,91,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,65-69,78,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,70-74,91,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,75-79,90,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,80-84,42,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Male,85+,39,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,0-4,63,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,5-9,95,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,10-14,100,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,15-19,74,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,20-24,62,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,25-29,91,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,30-34,101,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,35-39,94,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,40-44,103,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,45-49,95,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,50-54,142,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,55-59,111,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,60-64,118,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,65-69,99,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,70-74,95,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,75-79,83,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,80-84,56,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,Female,85+,58,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,0-4,160,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,5-9,179,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,10-14,203,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,15-19,173,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,20-24,166,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,25-29,157,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,30-34,170,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,35-39,195,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,40-44,221,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,45-49,274,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,50-54,279,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,55-59,299,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,60-64,240,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,65-69,220,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,70-74,314,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,75-79,222,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,80-84,134,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,All,85+,124,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,0-4,83,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,5-9,85,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,10-14,98,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,15-19,90,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,20-24,90,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,25-29,70,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,30-34,78,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,35-39,88,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,40-44,108,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,45-49,138,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,50-54,150,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,55-59,151,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,60-64,119,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,65-69,106,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,70-74,148,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,75-79,105,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,80-84,58,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Male,85+,51,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,0-4,77,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,5-9,94,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,10-14,105,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,15-19,83,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,20-24,76,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,25-29,87,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,30-34,92,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,35-39,107,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,40-44,113,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,45-49,136,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,50-54,129,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,55-59,148,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,60-64,121,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Port Erin,Village,3730,Female,65-69,114,published_exact,Part I Table 2.3
